id,reviews,score,cleanliness,communication,checkIn,accuracy,location,value
83,6,1,1,3,5,0,1,4
84,13,5,0,1,0,0,2,0
85,13,5,0,2,0,4,2,1
86,29,1,3,0,4,0,3,0
87,15,1,3,5,2,2,3,1
88,0,5,3,1,4,0,0,2
89,1,2,0,4,3,0,3,2
90,2,4,0,3,3,5,0,1
91,19,1,3,4,0,4,3,3
92,4,3,2,4,0,2,2,5
93,2,1,4,1,0,3,4,3
94,9,5,3,5,0,0,5,2
95,22,1,5,0,1,5,4,5
96,7,4,2,3,4,2,5,4
97,19,5,2,2,5,2,2,4
98,2,2,1,1,5,5,5,4
99,27,5,0,2,5,2,4,0
100,19,3,0,3,5,5,1,2
101,12,4,3,3,4,1,1,2
102,22,2,4,2,5,4,3,1
103,15,0,4,0,4,3,5,0
104,1,4,4,3,4,4,0,5
105,16,4,5,5,0,5,0,4
106,21,5,0,0,5,4,1,3
107,24,3,0,0,3,2,0,5
108,19,5,2,2,4,5,2,0
109,3,5,1,3,3,3,2,2
110,21,2,5,0,2,1,3,5
111,5,1,5,3,5,5,3,2
112,29,1,3,1,0,3,2,3
113,0,4,4,2,4,3,0,0
114,15,2,0,1,0,3,5,3
115,12,2,3,0,0,5,1,5
116,27,5,5,4,1,4,2,5
117,6,4,2,0,2,5,2,3
118,22,3,4,5,2,3,3,5
119,20,2,1,3,5,3,3,0
120,2,1,4,3,1,0,0,4
121,26,5,5,3,3,5,2,4
122,9,0,2,1,3,2,3,5
123,29,4,4,3,5,0,2,2
124,9,3,5,0,5,5,0,2
125,23,5,5,0,0,4,5,5
126,11,4,4,4,5,0,3,3
127,6,0,1,1,5,3,2,2
128,6,4,0,5,0,1,0,0
129,18,0,4,0,1,4,4,0
130,9,3,1,2,2,1,1,0
131,20,3,5,0,5,2,2,0
132,21,3,3,2,5,5,4,2
133,22,1,4,0,5,4,5,1
134,17,4,2,2,2,4,1,3
135,5,4,3,1,4,5,1,5
136,27,4,1,4,3,3,1,1
137,22,3,2,4,5,2,5,1
138,2,0,2,3,4,1,5,3
139,6,1,1,5,1,3,3,3
140,0,0,1,4,3,1,1,2
141,13,3,0,5,2,1,1,2
142,25,1,0,5,5,2,0,5
143,23,0,2,5,5,4,5,2
144,0,2,1,2,4,0,2,3
145,16,1,0,4,5,2,2,2
146,6,5,5,3,3,3,4,0
147,2,4,3,1,3,1,0,5
148,19,5,4,0,5,3,5,3
149,2,2,1,1,0,2,0,4
150,6,1,4,2,2,0,2,0
151,9,2,5,1,2,5,5,4
152,27,3,5,4,4,5,4,2
153,16,5,2,2,5,5,4,5
154,19,2,5,4,2,4,4,0
155,29,5,4,1,3,1,5,4
156,6,2,2,0,1,2,0,4
157,21,1,0,3,2,1,0,2
158,14,3,2,2,1,1,2,1
159,11,5,4,2,0,5,1,2
160,13,0,4,2,4,3,5,1
161,16,3,0,0,1,4,5,5
162,8,1,2,0,1,3,3,3
163,6,0,4,4,5,3,3,0
164,10,2,4,5,2,1,2,1
165,17,0,0,1,4,4,3,1
166,2,5,3,2,2,3,2,4
167,0,3,3,4,5,3,1,4
168,26,0,4,1,0,4,0,2
169,12,3,3,2,2,0,5,0
170,24,4,4,2,0,1,3,3
171,16,1,5,3,5,1,1,1
172,25,1,1,3,3,5,5,4
173,13,0,5,2,2,2,5,1
174,26,4,3,4,1,0,5,5
175,22,0,1,0,0,2,4,4
176,4,3,0,5,4,1,5,1
177,21,2,1,2,2,3,5,2
178,1,4,5,1,2,3,2,2
179,14,5,2,5,1,2,2,4
180,5,0,1,2,5,0,2,3
181,0,0,5,3,5,2,0,4
182,28,1,5,5,1,4,4,3
183,16,4,2,5,5,1,2,4
184,29,4,3,0,0,1,3,4
185,14,0,4,0,0,4,1,4
186,18,4,1,2,0,0,5,3
187,27,5,3,4,1,5,3,0
188,10,2,0,4,5,4,4,3
189,11,2,2,0,2,5,0,5
190,24,5,4,4,1,5,2,4
191,27,1,3,4,2,1,1,2
192,11,0,0,1,1,2,4,3
193,24,2,0,2,1,4,5,3
194,8,1,3,4,1,0,4,3
195,5,5,5,0,2,4,3,1
196,6,2,3,3,0,3,4,1
197,14,0,0,3,4,2,0,1
198,27,3,5,2,5,4,5,0
199,28,1,5,1,4,2,0,5
200,17,0,4,1,3,2,0,1
201,4,3,2,1,0,2,0,0
202,3,1,0,4,2,3,1,1
203,26,4,4,2,3,2,3,2
204,12,2,3,2,2,3,3,4
205,17,4,1,0,5,1,5,5
206,21,0,5,3,0,2,0,1
207,25,1,3,3,2,2,4,0
208,25,0,2,3,5,5,0,2
209,18,5,5,5,4,1,3,4
210,28,2,1,1,1,3,5,2
211,14,2,4,1,1,3,1,5
212,13,2,4,1,0,1,0,4
213,26,3,1,4,5,5,4,5
214,18,4,2,4,1,3,0,5
215,25,1,5,2,2,5,2,3
216,18,2,5,2,4,0,4,5
217,4,5,4,2,5,2,2,1
218,12,4,5,2,1,5,0,2
219,21,5,4,1,5,2,0,1
220,8,3,0,3,0,1,5,2
221,9,4,0,3,5,3,3,4
222,2,3,0,2,5,1,2,5
223,15,1,3,5,1,1,3,0
224,8,3,5,5,1,1,1,2
225,11,2,1,1,1,2,4,3
226,18,4,1,2,3,1,4,5
227,6,3,5,0,0,1,5,2
228,10,5,2,2,2,3,2,3
229,16,3,3,3,5,3,4,3
230,15,2,0,1,4,2,4,4
231,13,2,2,5,3,5,2,2
232,1,1,3,0,5,0,1,5
233,26,4,2,4,4,5,3,2
234,2,4,2,4,3,0,2,3
235,23,5,0,5,5,3,1,1
236,22,2,2,1,5,3,5,3
237,21,4,0,4,1,3,1,4
238,25,0,5,2,5,4,2,0
239,11,5,2,3,5,0,2,5
240,18,5,3,1,0,5,5,0
241,26,2,2,5,5,2,5,5
242,27,5,5,5,3,2,2,2
243,16,5,4,4,3,0,0,5
244,1,4,3,0,3,2,2,3
245,10,3,1,5,3,3,3,4
246,17,2,1,1,3,5,4,0
247,5,4,0,0,1,4,5,5
248,14,5,1,1,5,3,3,0
249,20,1,5,0,5,0,3,2
250,17,3,0,1,2,1,1,5
251,13,4,1,2,0,0,2,5
252,25,1,0,0,1,3,3,0
253,16,5,0,4,2,1,2,4
254,11,0,3,0,5,0,2,4
255,1,2,2,2,4,1,4,3
256,11,5,0,5,1,3,3,4
257,1,2,5,0,1,5,4,1
258,5,1,3,2,1,0,2,0
259,7,2,0,3,1,3,3,4
260,0,4,5,4,0,4,5,5
261,16,0,4,3,4,2,2,2
262,0,4,0,3,4,0,2,1
263,23,1,0,2,1,3,1,3
264,19,4,5,1,3,1,4,4
265,19,0,5,1,2,3,4,0
266,13,1,5,1,2,5,0,4
267,17,5,4,4,4,0,0,0
268,13,3,3,2,1,4,5,2
269,11,5,0,2,0,5,4,4
270,8,0,1,3,1,0,0,3
271,28,2,2,1,4,3,0,4
272,29,1,4,0,0,0,2,3
273,4,3,1,0,0,0,3,4
274,17,5,3,4,0,2,5,1
275,24,0,4,4,2,5,5,2
276,16,4,0,3,0,5,3,2
277,18,0,4,4,4,3,4,2
278,20,0,2,3,1,4,0,3
279,3,1,3,3,1,0,2,3
280,26,0,0,2,4,3,4,0
281,16,2,1,0,1,4,2,5
282,29,3,5,1,0,4,0,3
283,7,3,5,1,1,5,0,5
284,20,1,1,5,0,3,3,5
285,0,5,1,1,0,0,1,4
286,17,3,3,5,2,4,0,4
287,14,3,0,0,2,4,5,1
288,21,0,3,3,0,1,4,3
289,11,5,1,0,0,5,2,4
290,22,2,2,1,5,4,5,5
291,7,0,5,4,4,3,4,4
292,15,3,1,0,1,5,3,3
293,6,0,4,1,2,3,2,2
294,9,5,3,4,3,1,4,3
295,7,1,0,3,4,3,3,1
296,7,0,0,3,4,0,5,1
297,24,1,5,0,1,1,2,1
298,27,2,5,3,0,3,1,4
299,17,0,4,3,3,2,0,0
300,22,3,0,3,2,0,3,1
301,20,2,1,0,4,4,5,2
302,3,3,1,5,4,4,3,3
303,9,4,0,3,5,4,1,0
304,22,4,1,4,0,5,3,2
305,10,5,2,5,1,3,0,2
306,8,3,0,4,3,5,4,4
307,28,2,3,3,3,3,1,0
308,18,4,3,4,4,5,4,0
309,3,0,5,1,5,4,1,5
310,6,0,5,0,3,0,4,5
311,5,5,4,4,1,4,0,2
312,5,5,2,0,1,4,0,2
313,12,0,4,3,4,4,2,5
314,17,3,3,2,0,0,0,2
315,6,3,4,0,2,0,0,3
316,3,2,2,4,3,2,3,5
317,0,5,0,5,0,3,2,3
318,9,3,1,1,0,5,3,1
319,2,2,5,3,0,4,2,1
320,1,3,5,0,4,1,2,0
321,20,5,4,4,2,3,2,1
322,0,5,5,0,4,2,1,0
323,11,3,2,4,4,0,4,4
324,9,5,2,1,1,1,4,5
325,2,0,0,2,1,5,4,2
326,3,3,3,2,5,3,4,1
327,26,1,0,0,3,2,4,2
328,7,0,2,5,3,1,0,0
329,6,3,3,0,3,1,3,0
330,2,5,5,2,0,3,1,3
331,24,3,1,0,1,2,4,5
332,1,5,2,0,1,4,1,1
333,8,3,0,1,2,5,5,3
334,16,1,0,3,5,5,4,5
335,9,1,4,1,5,2,4,2
336,13,5,4,3,1,0,2,0
337,13,4,3,3,4,4,2,1
338,6,3,5,3,3,5,4,3
339,27,2,4,5,1,3,1,0
340,11,5,5,3,5,2,1,0
341,28,5,1,2,4,5,1,0
342,19,1,4,4,0,5,2,4
343,21,5,4,1,2,4,3,4
344,21,5,5,3,4,1,0,1
345,11,5,2,1,5,1,0,1
346,11,1,2,2,5,2,4,4
347,0,4,3,4,0,5,0,1
348,12,4,3,1,1,2,0,1
349,4,2,2,1,0,3,5,2
350,11,2,1,0,5,4,4,1
351,21,2,4,2,4,3,0,3
352,4,2,3,1,3,5,4,0
353,9,0,3,4,5,2,3,4
354,24,0,2,2,1,2,3,4
355,0,2,1,3,0,1,1,5
356,2,3,4,5,1,3,0,1
357,10,1,2,1,4,4,2,0
358,6,0,0,3,0,0,1,4
359,8,5,2,1,0,4,1,1
360,19,0,3,4,5,2,3,3
361,7,0,2,5,2,5,5,2
362,5,5,3,1,1,1,4,4
363,24,2,2,2,4,5,1,3
364,12,1,3,2,3,1,2,2
365,23,5,3,3,4,5,2,1
366,14,3,2,3,0,3,2,3
367,9,3,4,1,0,5,0,4
368,0,5,3,1,1,5,2,3
369,9,3,4,3,1,3,3,0
370,26,2,3,1,2,2,5,1
371,24,5,3,5,2,0,1,2
372,21,4,3,2,5,4,3,5
373,26,2,1,2,0,2,1,3
374,23,4,4,0,4,3,4,0
375,3,5,4,5,3,5,4,3
376,7,4,1,2,1,5,3,0
377,21,3,0,0,0,5,3,0
378,23,1,3,5,2,2,5,0
379,0,5,1,0,0,0,3,2
380,20,0,1,2,4,4,3,1
381,6,3,4,5,3,5,4,3
382,22,2,1,5,3,0,0,0
383,16,3,3,3,0,4,1,1
384,14,0,4,3,3,2,3,4
385,25,2,3,2,2,2,5,3
386,25,5,1,5,5,0,1,0
387,21,4,1,3,5,0,3,4
388,17,4,1,3,0,3,5,1
389,1,1,5,0,0,0,0,5
390,14,5,5,4,4,2,4,5
391,25,1,3,1,4,1,1,1
392,14,5,4,2,4,5,3,0
393,6,3,3,2,5,5,1,0
394,29,3,4,5,0,4,5,3
395,25,1,5,0,3,2,3,2
396,2,0,1,3,0,3,5,4
397,18,5,2,1,4,2,1,5
398,20,4,2,2,4,0,4,5
399,29,4,2,2,1,3,0,5
400,28,1,5,2,4,0,1,4
401,4,1,4,2,5,0,0,4
402,0,0,4,5,5,3,0,3
403,13,2,5,5,3,3,0,0
404,14,4,1,2,0,5,0,5
405,5,3,5,3,1,4,4,5
406,17,2,4,5,1,3,4,1
407,24,3,0,5,5,1,3,3
408,15,3,4,4,4,2,5,5
409,29,0,4,4,5,5,1,3
410,12,4,2,1,3,2,2,2
411,21,2,0,5,3,4,5,0
412,24,3,3,0,0,4,3,0
413,1,1,2,0,3,1,5,3
414,7,5,0,0,2,2,0,4
415,17,2,5,0,1,4,0,2
416,5,4,1,4,4,3,1,5
417,0,3,1,1,1,3,2,0
418,1,3,4,1,3,1,0,2
419,12,2,5,4,0,2,1,4
420,18,2,4,3,4,4,5,5
421,23,0,2,2,1,3,5,0
422,28,0,3,2,2,1,4,4
423,19,0,2,5,0,2,0,0
424,27,4,2,4,2,1,4,1
425,27,1,0,4,4,3,0,1
426,1,1,4,4,0,1,5,0
427,16,3,0,4,1,1,3,4
428,6,0,1,1,1,3,4,1
429,17,0,1,3,1,4,3,1
430,5,3,2,4,3,2,1,0
431,28,0,5,1,3,3,5,2
432,26,0,4,1,1,1,4,0
433,29,1,2,5,0,2,0,1
434,7,3,5,3,1,5,3,2
435,16,2,1,4,3,1,1,2
436,15,3,2,3,5,4,2,5
437,25,5,5,4,3,0,0,1
438,7,5,4,5,2,5,5,1
439,1,1,2,2,5,5,3,0
440,21,3,1,5,5,3,0,3
441,20,2,0,4,5,5,5,4
442,6,3,4,0,5,3,4,4
443,1,0,5,3,5,3,4,5
444,29,1,0,1,1,4,2,5
445,8,3,3,5,2,1,5,0
446,23,4,5,2,3,3,0,4
447,25,4,3,3,2,0,0,4
448,2,3,5,1,3,2,5,1
449,5,4,5,5,1,4,0,1
450,9,2,3,5,1,5,3,0
451,28,5,1,5,3,1,3,5
452,25,5,5,1,4,3,1,5
453,28,4,4,0,0,0,3,0
454,27,5,3,4,4,2,1,2
455,10,1,4,0,3,1,1,0
456,25,5,1,5,2,3,0,3
457,1,1,5,4,4,2,3,4
458,20,1,1,5,5,1,0,2
459,25,5,2,1,3,4,3,0
460,6,4,1,5,0,1,0,1
461,8,0,0,0,5,1,1,3
462,5,0,1,1,2,1,1,3
463,13,3,2,1,5,0,1,1
464,5,3,0,0,2,0,4,3
465,25,1,3,2,0,0,1,0
466,9,2,5,3,1,1,1,5
467,8,1,0,5,2,3,1,2
468,12,4,3,2,1,5,2,1
469,7,2,2,1,0,5,3,4
470,23,0,2,2,0,0,3,1
471,15,2,4,3,4,1,0,5
472,28,0,1,3,5,4,5,3
473,24,0,5,2,0,3,3,5
474,20,0,3,1,3,1,4,2
475,21,5,3,2,4,3,5,0
476,22,1,1,5,5,0,4,5
477,9,3,3,5,0,1,0,1
478,22,1,3,1,3,3,0,3
479,14,3,4,3,5,0,5,5
480,19,5,5,0,2,2,0,1
481,17,5,1,1,3,1,3,5
482,13,1,1,0,2,3,5,0
483,13,2,2,3,2,5,5,5
484,19,0,1,3,2,5,3,5
485,17,2,3,2,3,4,0,2
486,0,5,4,5,3,1,3,4
487,25,2,5,0,1,5,3,1
488,22,1,2,2,1,0,3,5
489,26,2,0,5,3,3,3,4
490,28,0,3,2,2,4,4,4
491,8,4,1,1,1,1,1,1
492,12,3,0,3,5,5,3,4
493,27,4,2,5,4,3,3,0
494,1,1,1,1,5,5,2,5
495,22,0,2,3,2,4,4,2
496,27,3,5,3,3,1,2,2
497,24,4,1,3,1,3,4,4
498,5,1,1,1,0,3,0,4
499,24,1,5,1,1,5,4,5
500,14,3,5,3,0,3,2,0
501,11,0,1,3,1,5,4,5
502,22,2,1,4,5,5,0,0
503,24,5,5,1,0,0,5,5
504,21,1,3,4,1,4,2,5
505,16,3,4,2,0,3,3,1
506,26,0,5,3,3,5,4,2
507,23,4,4,5,5,0,5,5
508,5,2,4,4,5,5,4,0
509,7,1,5,0,0,2,2,5
510,14,5,1,0,1,3,0,5
511,14,4,2,1,5,2,3,3
512,23,0,2,2,1,4,3,2
513,18,0,5,4,0,1,0,5
514,6,4,4,3,5,1,0,4
515,26,0,2,0,1,1,3,1
516,12,0,5,5,4,3,4,2
517,12,3,5,3,2,5,0,5
518,0,0,1,0,2,2,0,5
519,10,0,4,1,2,2,1,3
520,0,0,1,1,3,4,0,1
521,27,4,4,1,2,1,2,2
522,12,0,4,1,2,5,0,4
523,16,0,2,1,2,4,5,5
524,29,3,5,1,0,3,3,4
525,3,5,5,1,2,4,1,3
526,11,4,1,0,2,5,4,1
527,3,0,5,1,3,0,4,0
528,29,5,1,4,4,2,4,3
529,6,0,0,3,1,1,3,4
530,27,5,1,3,4,5,2,5
531,27,3,3,5,2,1,2,1
532,3,5,2,2,5,5,5,1
533,2,2,5,0,3,1,1,3
534,26,4,0,5,0,4,4,1
535,28,3,1,4,0,5,0,4
536,15,2,3,5,3,4,1,0
537,3,5,4,0,3,1,5,4
538,16,2,0,0,5,1,0,0
539,20,3,3,5,0,5,5,0
540,15,5,5,2,2,1,0,5
541,15,0,2,5,4,5,3,5
542,5,4,5,1,3,3,1,4
543,8,0,2,2,4,0,2,2
544,14,4,0,0,3,1,1,4
545,17,1,5,4,5,2,2,2
546,11,2,1,1,0,2,5,1
547,27,2,3,2,3,3,4,5
548,10,3,1,5,5,0,1,3
549,1,2,2,1,5,1,1,3
550,16,1,4,1,5,2,5,1
551,4,3,1,0,0,1,3,4
552,12,4,5,2,2,2,5,1
553,9,2,1,0,1,3,4,5
554,9,0,0,2,4,4,2,5
555,27,3,2,0,0,4,5,3
556,23,0,4,3,1,4,3,3
557,20,2,0,0,5,4,2,3
558,1,5,1,4,1,0,4,0
559,1,4,3,5,5,0,2,0
560,4,2,1,2,0,2,3,0
561,14,5,2,4,2,2,3,0
562,24,3,4,0,3,3,2,2
563,14,3,2,4,0,1,5,5
564,7,3,5,0,2,5,1,3
565,27,1,0,1,2,4,4,3
566,24,0,1,3,2,0,5,0
567,16,0,0,4,1,3,1,1
568,21,3,4,0,5,2,0,2
569,15,4,3,2,5,2,5,0
570,7,4,3,2,2,4,4,2
571,12,5,4,4,0,0,5,2
572,28,3,5,2,4,0,3,1
573,18,2,3,0,1,0,1,3
574,5,1,5,4,2,5,5,3
575,2,0,2,2,5,5,1,0
576,5,4,2,3,2,1,1,5
577,12,0,2,1,1,4,2,3
578,29,5,2,1,1,4,0,2
579,17,5,4,4,5,5,1,2
580,29,0,2,4,2,0,5,5
581,9,2,3,3,4,1,3,0
582,0,3,1,4,5,0,0,5
583,3,0,0,0,2,5,0,5
584,3,4,2,3,3,3,3,5
585,13,4,5,3,3,5,0,4
586,17,3,3,2,3,2,0,0
587,18,1,5,2,2,5,0,4
588,5,0,5,0,2,4,0,2
589,17,0,5,5,3,3,0,5
590,1,3,1,2,1,5,1,3
591,27,1,5,0,4,0,0,0
592,8,1,2,0,5,0,0,3
593,22,2,2,2,1,0,1,0
594,21,3,3,5,5,5,4,3
595,25,0,3,2,3,2,4,2
596,29,2,4,1,0,3,1,0
597,23,1,1,5,0,0,5,2
598,26,3,1,2,1,4,3,0
599,25,1,0,3,0,0,3,5
600,9,1,5,0,3,5,3,5
601,19,3,1,0,1,5,3,3
602,11,4,0,5,1,2,5,4
603,17,4,4,2,0,4,2,0
604,6,5,3,1,3,0,0,1
605,9,3,5,2,2,2,2,5
606,22,3,1,1,2,2,3,4
607,29,5,3,5,3,1,3,0
608,20,4,4,0,2,4,2,4
609,2,1,3,2,1,5,4,2
610,14,0,1,5,3,4,1,2
611,11,1,0,3,5,4,3,3
612,23,4,4,3,5,2,2,3
613,9,4,5,2,3,3,3,0
614,27,0,1,0,0,2,0,3
615,8,4,4,3,3,0,4,2
616,28,3,1,3,0,2,4,1
617,16,3,3,0,0,4,5,3
618,29,3,3,3,5,2,4,0
619,16,3,4,3,1,4,1,5
620,21,1,3,4,5,4,0,4
621,28,0,4,2,1,0,2,2
622,21,4,0,3,4,5,1,2
623,17,3,2,5,2,5,5,5
624,2,4,5,2,5,3,3,1
625,27,3,1,3,4,2,2,0
626,23,1,4,0,1,4,2,0
627,25,0,0,5,0,4,4,1
628,20,2,5,0,4,4,0,1
629,20,0,2,0,2,0,5,3
630,7,5,5,2,0,5,2,3
631,0,1,1,2,1,0,0,4
632,1,3,0,5,3,3,4,5
633,6,4,3,1,2,5,4,5
634,23,1,0,0,1,0,1,1
635,4,4,1,2,2,5,5,5
636,22,1,5,5,1,2,1,2
637,13,0,2,2,5,2,5,4
638,5,0,3,3,1,3,3,5
639,22,3,5,1,1,2,5,3
640,5,3,1,1,3,3,0,3
641,18,5,0,5,1,4,5,5
642,17,0,1,1,1,5,2,1
643,25,1,3,5,3,4,2,3
644,0,2,4,5,3,2,0,2
645,11,4,2,2,4,1,0,0
646,1,3,2,5,0,5,4,1
647,24,0,3,3,3,0,4,4
648,20,3,3,3,4,3,1,0
649,28,0,2,0,1,4,4,2
650,0,5,4,2,0,1,4,1
651,3,0,0,4,5,1,1,3
652,19,0,3,2,0,4,2,1
653,6,3,5,1,3,2,5,0
654,8,4,1,4,5,0,2,1
655,13,1,4,0,3,3,5,0
656,7,1,4,0,2,3,5,0
657,20,0,5,1,1,4,3,2
658,17,2,4,5,3,2,5,0
659,8,4,4,1,5,4,1,1
660,2,0,5,0,4,2,2,3
661,0,1,1,1,5,0,3,0
662,26,0,4,0,2,3,1,1
663,6,1,0,3,0,1,1,0
664,16,0,1,1,3,1,2,3
665,14,4,0,2,3,4,5,5
666,22,4,1,3,5,2,3,2
667,25,1,1,5,1,3,3,1
668,4,0,4,0,2,4,1,0
669,28,4,4,5,3,5,5,0
670,9,0,3,0,1,3,2,3
671,8,1,0,0,5,1,5,1
672,29,3,5,5,0,0,0,1
673,14,3,1,0,3,4,0,3
674,10,4,3,3,0,1,0,2
675,14,4,2,1,2,0,1,4
676,14,2,5,3,0,4,0,1
677,7,0,0,0,4,5,4,1
678,20,4,2,1,0,0,3,0
679,20,2,3,3,5,3,4,1
680,19,0,2,5,3,2,3,0
681,19,3,2,1,5,2,2,0
682,27,5,0,5,1,3,4,3
683,15,3,2,0,4,0,2,5
684,27,2,2,3,4,5,5,3
685,3,1,5,0,4,2,0,3
686,15,5,0,4,1,4,5,1
687,26,5,5,0,3,0,5,2
688,6,4,5,5,5,0,3,2
689,5,2,2,2,2,1,0,1
690,10,1,2,2,2,4,5,2
691,3,3,4,0,2,5,2,2
692,28,5,2,2,4,0,1,1
693,24,1,5,5,3,1,1,2
694,9,1,2,1,0,2,4,3
695,19,1,0,0,0,3,4,1
696,28,5,1,1,3,0,3,1
697,2,4,1,5,2,5,3,2
698,12,2,5,3,2,4,5,5
699,1,2,1,2,4,5,0,3
700,11,3,5,3,4,1,3,5
701,18,2,3,3,4,4,5,5
702,4,3,5,0,0,3,5,1
703,18,4,4,1,5,2,5,3
704,26,2,2,3,2,5,3,0
705,11,1,3,2,1,4,1,0
706,24,3,4,0,4,4,0,5
707,27,1,4,3,5,4,4,0
708,12,2,4,0,4,0,0,4
709,22,0,5,0,4,5,3,1
710,8,5,1,2,0,2,4,3
711,8,0,4,4,5,1,2,0
712,25,0,0,1,1,4,0,5
713,16,5,3,0,1,2,4,1
714,19,0,3,5,4,5,1,2
715,21,4,3,5,1,4,5,0
716,15,0,5,3,2,1,4,1
717,3,5,4,2,5,1,5,3
718,27,3,4,4,4,2,5,4
719,5,5,5,0,1,3,3,3
720,17,3,1,1,2,0,4,5
721,26,2,4,0,3,0,5,4
722,2,4,4,3,4,1,1,1
723,10,4,4,1,3,2,5,5
724,20,0,4,4,2,5,5,1
725,8,2,1,4,2,1,4,1
726,0,5,0,0,4,3,0,1
727,10,2,3,4,5,4,3,3
728,26,2,2,4,2,4,1,3
729,8,1,1,0,3,3,4,2
730,8,2,3,2,4,5,5,4
731,11,2,5,0,0,2,2,2
732,6,1,3,2,4,0,2,1
733,20,3,1,0,0,5,3,1
734,26,3,2,5,2,0,1,1
735,2,3,5,3,2,4,4,0
736,5,5,0,2,1,0,4,4
737,2,3,5,5,4,2,2,4
738,0,0,4,3,4,1,1,1
739,6,3,3,3,0,5,2,5
740,18,5,4,2,0,2,0,4
741,27,4,2,0,1,1,5,3
742,6,1,2,5,5,1,4,5
743,10,3,3,4,2,2,2,0
744,4,3,2,2,3,3,5,5
745,14,0,2,0,1,1,5,3
746,14,4,0,5,0,4,4,0
747,1,1,2,0,2,1,0,0
748,22,3,0,1,4,1,3,2
749,2,1,0,5,2,5,0,5
750,15,1,5,0,4,2,5,2
751,18,3,2,0,0,5,0,3
752,2,3,5,3,1,1,1,5
753,14,2,4,5,2,3,1,2
754,28,2,2,5,1,2,3,3
755,25,1,4,5,2,0,4,1
756,13,0,2,2,4,1,0,0
757,25,2,1,5,5,3,3,2
758,23,5,1,1,3,0,5,5
759,16,2,3,4,4,4,0,0
760,6,3,5,4,4,0,1,1
761,26,4,2,4,3,4,3,0
762,26,2,4,0,3,4,3,1
763,11,4,1,1,1,1,2,2
764,8,3,0,0,4,4,0,3
765,19,0,4,5,2,0,1,2
766,26,5,3,0,0,4,4,0
767,3,0,5,4,1,5,5,1
768,2,5,0,4,3,1,2,4
769,2,3,0,1,0,1,5,1
770,17,0,1,5,1,4,1,3
771,4,0,4,3,0,1,2,4
772,0,3,5,4,1,4,3,0
773,19,5,1,1,1,3,3,4
